Какой основной язык используется приложениями для Android?	A. Java	B. C++	C. Python	D. HTML	0
Что такое ООП?	А. Объектно-ориентированное программирование — методология программирования, основанная на представлении программы в виде совокупности объектов, каждый из которых является экземпляром определенного класса, а классы образуют иерархию наследования.	В.  Объектно-ориентированное программирование — так называют любой тип программирования, в котором используются понятия высокого уровня и, в отличие от Assembler, в котором не работают напрямую с ячейками памяти ПК.	С. Объектно-ориентированное программирование — просто красивое понятие. Если вдуматься, оно не несет дополнительной смысловой нагрузки, просто программисты любят аббревиатуры, так области их знаний выглядят сложнее.	D.Очень одинокий программист.	0
Что такое класс в Java	Уровень сложности программы. Все операторы делятся на классы в зависимости от сложности их использования.	Базовый элемент объектно-ориентирован­ного программирования в языке Java.	Просто одно из возможных названий переменной.	Такое понятие есть только в C++, в Java такого понятия нет.	1
Как называется код между фигурными скобками?	функция	секция	тело	блок	3
Терминальной операций Stream API являются	0. map	1. mapToInt	2. filter	3. collect	3
6. Что означает ключевое слово extends?	Что данный класс наследуется от другого	Что это дополнительный модуль класса, который расширяет его свойства	Что два класса делают одно и то же	Что это самый большой класс в программе	0
7. Для чего используется оператор new?	Для создания новой переменной	Для объявления объекта класса	Для создания экземпляра класса	Для создания класса	2
В какой из структур данных реализуется концепция FIFO?	Queue	Stack	Tree	Deque	0
В какой из структур данных реализуется концепция LIFO?	Queue	Stack	Deque	Array	1
Что происходит при запуске и выполнении джава кода?	A. интерпретация в машинный код	B. компиляция в jvm байт-код	C. интерпретация в машинный код, потом компиляция в байт-код	D. компиляция в jvm байт-код, потом интерпретация в машинный код	3
Что будет в результате выполнения операции 2 + 2 == 5 && 12 / 4 == 3 || 2 == 5 % 3?	TRUE	FALSE	0	null	0
Чем отличаются перегруженные методы друг от друга?	A. Название метода	B. Аргументы	C. Одни и те же аргументы, но разные возвращаемые значения	D.  Модификаторами доступов	1
Что НЕЛЬЗСЯ написать вместо "..." в данном случае: List<...> list = new ArrayList<String>?	A. ? extends String	B. ? extends Object	C. ? super Object	D. String	2
Что такое сигнатура метода?	Название метода	Название метода и аргументов	Название метода, названия аргументов и модификатора доступа	Название метода, названия аргументов, модификатора доступа и тип возвращаемых данных	1
Какова средняя сложность Timsort?	А. O(1)	B. O(logn)	C. O(nlogn)	D. O(n ^ 2)	2
Пусть объявлены два числа: Integer a = 128; Integer b = 128; что будет в результате выполнения операции a == b?	TRUE	FALSE	Error: type may be primitive	null	1
Что произойдет, если в Java-программе не будет метода main() ?	Программа не будет компилироваться	Программа будет компилироваться, но не будет запускаться	Программа будет запускаться, но не будет выполнять никаких действий	Программа будет выполняться, но не будет иметь доступ к стандартному потоку ввода-вывода	1
Какой метод применяется для преобразования строки в целое число в Java?	A. toInteger()	B. toString()	C. toNumber()	D. publicInt()	0
Что происходит при инкапсуляции в Java?	Объекты и данные скрываются от прямого доступа	Данные меняются при доступе	Данные проверяются при доступе	Данные могут быть изменены при доступе	0
Какой модификатор доступа не позволяет обращаться к атрибутам класса ниоткуда?	private	public	protected	default	0
Может ли for быть без какой-то из трех его частей: например, for(int i =0;i<100;)?	да	определенно нет	точно да	нет	0
Какой тип операций существует при работе со Stream API?	Конвейерный тип	Последовательный тип	Очерёдный тип	Останавливающий тип	1
Какой тип операций существует при работе со Stream API?	Конвейерный тип	Последовательный тип	Очерёдный тип	Останавливающий тип	0
Какую из ошибок не нужно отлавливать?	FileNotFoundException	ArrayIndexOutOfBoundException	Таких ошибок нет	Arithmetic exception	0
Как называется ситуация, когда два треда обращаются к засинхроненным друг другом объектам?	Deadlock	Deadend	InterruptException	SyncError	0
Что представляют из себя Абстрактные класс?	класс, в котором есть реализованные абстрактные методы	пустой класс	класс с обычными методами	класс, в котором есть абстрактные методы, которые не имеют своей реализации в это классе	3
Можно ли вызывать static методы в обычных?	Нет	Можно, но перед этим нужно перегрузить обычный метод класса	Можно, но перед этим надо переопределить обычный метод класса	Можно	3
Какой язык существует?	А. C--	B. Java==	C. C^2	D. Java	3
Что также называется потоками кроме stream?	Thread	List	Array	Integer	0
Что такое Java Virtual Machine (JVM)?	a. Это среда разработки для языка Java.	b. Это виртуальная машина, которая выполняет байт-код программ на языке Java.	c. Это класс библиотеки Java для работы с файловой системой.	d. Это инструмент для автоматической генерации документации из исходного кода на языке Java.	1
Что такое "checked" и "unchecked" исключения в Java?	a. "Checked" исключения - это исключения, которые обязательно должны быть обработаны в программе во время компиляции, а "unchecked" исключения - это исключения, которые могут быть необработаны.	b. "Checked" исключения - это исключения, которые могут быть необработаны в программе, а "unchecked" исключения - это исключения, которые обязательно должны быть обработаны в программе.	c. "Checked" исключения - это исключения, которые возникают при работе с потоками ввода-вывода, а "unchecked" исключения - это исключения, которые возникают при работе с графическими интерфейсами.	d. "Checked" исключения - это исключения, которые возникают при работе с графическими интерфейсами, а "unchecked" исключения - это исключения, которые возникают при работе с потоками ввода-вывода.	0
Сколько байтов занимает float?	8 байт	4 байта	2 байта	1 байт	1
Какой принцип SOLID отвечает за то, что классы должны быть открыты для расширения, но закрыты для модификации.	Dependency Inversion (принцип инверсии зависимостей)	Liskov Substitution (Принцип подстановки Барбары Лисков)	Open-Closed (Принцип открытости-закрытости)	Single responsibility (Принцип единственной ответственности)	2
Выберите принцип SOLID, который не является напрямую связанным с наследованием/реализацией	0. Барбары Лисков	1. Единственной ответственности	2. Инверсиии зависимости	3. Открытости/Закрытости	1
Чем отличаются static-метод класса от обычного метода класса.	Поведение обычного метода класса можно изменить в классе-наследнике, а поведение static-метода нельзя.	Обычный метод класса можно переопределить, а static-метод нельзя.	Обычный метод класса работает от объекта класса, а static-метод от всего класса.	Static-метод класса можно вызывать только внутри класса, а обычный - в любой части кода.	2
Выберите какой паттерн решает проблему множественного обращения к одному ресурсу:	Делегаты	Фабрика	Стратегия	Синглтон	3
Какой модификатор доступа ограничивает видимость данных и методов пределами одного класса?	public	protected	private	default	2
Какой интерфейс позволяет сравнивать экземпляры классов по определенному признаку?	Comparable	Iterable	List	Collection	0
Какой интерфейс позволяет перебирать все элементы коллекции?	Iterable	Set	Comparable	List	0
Аннотация для переопределения метода -	@Overload	@Override	@Test	@FunctionalInterface	1
Какова сложность сортировки HeapSort?	O(n^2)	O(n)	O(n log(n))	O(log(n))	2
Чем отличается блок try-catch от throw?	Ничем	throw прерывает работу программы, а try-catch - нет	try-catch прерывает работу программы, а throw - нет	throw пишется после сигнатуры метода, а try-catch в самом методе	1
Выберите неверное утверждение о файлах::	Файл - всегда набор битов	Примеры текстовых файлов: java, txt, csv	Файл - не интерактивен	Нетекстовые файлы НЕ могут содержать текстовые вставки	3
Перечисления используются для объявления переменных, которые представляют собой…	Классы	Члены фиксированного набора	Интерфейсы	Целые числа	1
Какой тип ошибок проверяется компилятором?	Мягкие	Runtime exception	IOException	Linkage error	1
Какой из ниже перечисленных классов потокобезопасен?	Любой	StringBuilder	StringBuffer	Calendar	2
Что означает переопределение метода в java? (Override)	Изменение поведения метода класса относительно дочернего	Изменение поведения метода класса относительно родительского	Несколько разных классов с одинаковым методом	Несколько методов с одинаковым названием, но разным набором элементов	1
Чем отличаются static-метод класса от обычного метода класса?	Обычный метод класса работает от объекта класса, а static метод от всего класса	Обычный метод класса можно переопределить, а static метод нельзя	Поведение обычного метода класса можно изменить в классе-наследнике, а поведение static метода нельзя	Static метод класса можно вызывать только внутри класса,а обычный -  в любой части кода	0